service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111100-1,1,1,1,1,1,0,0,20260709,20260722
1111111-1,1,1,1,1,1,1,1,20260709,20260722
1111100-2,1,1,1,1,1,0,0,20260709,20260710
0000010-1,0,0,0,0,0,1,0,20260711,20260718
0000011-1,0,0,0,0,0,1,1,20260711,20260719
1111111-2,1,1,1,1,1,1,1,20260711,20260722
1111110-1,1,1,1,1,1,1,0,20260711,20260722
0000001-1,0,0,0,0,0,0,1,20260712,20260719
1111101-1,1,1,1,1,1,0,1,20260712,20260722
1111100-3,1,1,1,1,1,0,0,20260713,20260722
1111111-3,1,1,1,1,1,1,1,20260709,20260719
1111111-4,1,1,1,1,1,1,1,20260709,20260717
1111100-4,1,1,1,1,1,0,0,20260709,20260717
1111111-5,1,1,1,1,1,1,1,20260709,20260722
1111101-2,1,1,1,1,1,0,1,20260709,20260722
1111111-6,1,1,1,1,1,1,1,20260709,20260722
1111101-3,1,1,1,1,1,0,1,20260709,20260722
1111100-5,1,1,1,1,1,0,0,20260709,20260716
1111100-6,1,1,1,1,1,0,0,20260709,20260709
1111111-7,1,1,1,1,1,1,1,20260709,20260712
1111110-2,1,1,1,1,1,1,0,20260709,20260711
1111111-8,1,1,1,1,1,1,1,20260709,20260719
1111100-7,1,1,1,1,1,0,0,20260709,20260722
1111111-9,1,1,1,1,1,1,1,20260709,20260722
1111111-10,1,1,1,1,1,1,1,20260709,20260716
1111111-11,1,1,1,1,1,1,1,20260709,20260722
1111111-12,1,1,1,1,1,1,1,20260709,20260715
1111111-13,1,1,1,1,1,1,1,20260709,20260722
1111111-14,1,1,1,1,1,1,1,20260709,20260719
1111111-15,1,1,1,1,1,1,1,20260709,20260722
1111111-16,1,1,1,1,1,1,1,20260709,20260722
1111111-17,1,1,1,1,1,1,1,20260709,20260719
1111100-8,1,1,1,1,1,0,0,20260710,20260722
1111111-18,1,1,1,1,1,1,1,20260710,20260722
1111111-19,1,1,1,1,1,1,1,20260710,20260716
0000011-2,0,0,0,0,0,1,1,20260711,20260712
0000010-2,0,0,0,0,0,1,0,20260711,20260711
1111111-20,1,1,1,1,1,1,1,20260711,20260719
1111111-21,1,1,1,1,1,1,1,20260711,20260717
0000011-3,0,0,0,0,0,1,1,20260711,20260719
0000011-4,0,0,0,0,0,1,1,20260711,20260718
1111111-22,1,1,1,1,1,1,1,20260711,20260722
0000011-5,0,0,0,0,0,1,1,20260711,20260719
1111111-23,1,1,1,1,1,1,1,20260711,20260722
1111111-24,1,1,1,1,1,1,1,20260711,20260716
1111111-25,1,1,1,1,1,1,1,20260711,20260722
1111111-26,1,1,1,1,1,1,1,20260711,20260722
1111111-27,1,1,1,1,1,1,1,20260711,20260722
1111111-28,1,1,1,1,1,1,1,20260711,20260717
0000001-2,0,0,0,0,0,0,1,20260712,20260712
0000011-6,0,0,0,0,0,1,1,20260712,20260719
1111101-4,1,1,1,1,1,0,1,20260712,20260717
1111100-9,1,1,1,1,1,0,0,20260713,20260717
1111100-10,1,1,1,1,1,0,0,20260713,20260716
1111100-11,1,1,1,1,1,0,0,20260713,20260717
1111100-12,1,1,1,1,1,0,0,20260716,20260716
1111100-13,1,1,1,1,1,0,0,20260717,20260717
1111111-29,1,1,1,1,1,1,1,20260717,20260722
1111100-14,1,1,1,1,1,0,0,20260717,20260722
1111111-30,1,1,1,1,1,1,1,20260717,20260719
0000010-3,0,0,0,0,0,1,0,20260718,20260718
0000011-7,0,0,0,0,0,1,1,20260718,20260719
1111111-31,1,1,1,1,1,1,1,20260718,20260722
1111110-3,1,1,1,1,1,1,0,20260718,20260722
0000001-3,0,0,0,0,0,0,1,20260719,20260719
1111101-5,1,1,1,1,1,0,1,20260719,20260722
1111100-15,1,1,1,1,1,0,0,20260720,20260722
1111110-4,1,1,1,1,1,1,0,20260709,20260722
1111100-16,1,1,1,1,1,0,0,20260709,20260722
1111100-17,1,1,1,1,1,0,0,20260709,20260722
1111100-18,1,1,1,1,1,0,0,20260709,20260722
1111100-19,1,1,1,1,1,0,0,20260709,20260714
1111111-32,1,1,1,1,1,1,1,20260709,20260714
