gtfs_stop_id,name,transit_type,lines,lat,lon
U1000S1,Letňany,metro,C,50.124155,14.516175
U1000Z1,Letňany,bus,"321,351,377",50.125965,14.516783
U1000Z10,Letňany,bus,"302,376,378",50.125565,14.515750
U1000Z10P,Letňany,bus,"159,185,201,209",50.125565,14.515750
U1000Z11,Letňany,bus,"321,351,377",50.125851,14.515283
U1000Z12P,Letňany,bus,"110,136,201",50.125648,14.516767
U1000Z15,Letňany,bus,413,50.125729,14.515668
U1000Z1P,Letňany,bus,"158,195",50.125965,14.516783
U1000Z2,Letňany,bus,"302,375,376,378",50.124516,14.516399
U1000Z2P,Letňany,bus,"159,185,209",50.124516,14.516399
U1000Z3P,Letňany,bus,"110,136,195,201",50.125614,14.516517
U1000Z4,Letňany,bus,"321,351,377",50.125271,14.516498
U1000Z4P,Letňany,bus,158,50.125271,14.516498
U1000Z5,Letňany,bus,375,50.125149,14.515183
U1000Z6,Letňany,bus,"302,376,378,413",50.125584,14.516133
U1000Z6P,Letňany,bus,"159,185,209",50.125584,14.516133
U1001Z1P,Na Křečku,bus,"154,175,183",50.043968,14.567000
U1001Z2P,Na Křečku,bus,"154,175,183",50.044399,14.567218
U1002Z1P,Pod Lahovskou,bus,245,49.991455,14.365620
U1004Z1,Nad Dvorem,bus,383,50.009632,14.633468
U1004Z1P,Nad Dvorem,bus,"227,906",50.009632,14.633468
U1004Z2,Nad Dvorem,bus,383,50.009819,14.632701
U1004Z2P,Nad Dvorem,bus,"227,906",50.009819,14.632701
U1006Z1P,Čechova čtvrť,tram,"17,20,3,92",50.002239,14.409697
U1006Z2P,Čechova čtvrť,tram,"17,20,3,92",50.002201,14.410583
U1006Z51P,Čechova čtvrť,bus,117,50.002323,14.409771
U1006Z52P,Čechova čtvrť,bus,117,50.002079,14.410659
U1007S1,Luka,metro,B,50.045671,14.321366
U1007Z1P,Luka,bus,"174,219,225,902,904",50.045502,14.321067
U1007Z2P,Luka,bus,"174,219,225,902,904",50.045235,14.321433
U1007Z71,Luka,bus,"301,352",50.045502,14.321067
U1007Z72,Luka,bus,301,50.045235,14.321433
U1007Z73,Luka,bus,352,50.045235,14.321433
U1008Z1P,Klášterecká,bus,202,50.145962,14.455812
U1008Z2P,Klášterecká,bus,202,50.146065,14.455901
U1009Z1P,Jirčanská,bus,"154,197,904",50.005962,14.459352
U1009Z2P,Jirčanská,bus,"154,197,904",50.005997,14.458709
U100S1,Vltavská,metro,C,50.100229,14.438508
U100Z11P,Bubenská,bus,156,50.098103,14.436589
U100Z1P,Vltavská,tram,"1,156,25,34",50.099228,14.438122
U100Z2P,Vltavská,tram,"1,25,34",50.098812,14.438766
U100Z3P,Vltavská,tram,12,50.098469,14.437243
U100Z4P,Vltavská,tram,12,50.099022,14.437513
U100Z5P,Vltavská,bus,"156,905,911",50.098110,14.438810
U100Z6P,Vltavská,bus,"905,911",50.098335,14.438747
U100Z91P,Vltavská,bus,XC,50.098335,14.438747
U100Z93P,Vltavská,bus,XC,50.097950,14.438799
U1010Z1,Hornocholupická,bus,341,49.997467,14.425167
U1010Z2,Hornocholupická,bus,341,49.997482,14.424701
U1011Z1P,Mirovická,bus,"145,162,169,913",50.131435,14.452784
U1011Z2P,Mirovická,bus,"145,162,169,913",50.130333,14.452084
U1012Z1P,Morseova,bus,"154,240",50.035149,14.558836
U1012Z2P,Morseova,bus,"154,240",50.035069,14.558968
U1013Z1P,Janovská,bus,"154,175,183",50.040516,14.566801
U1013Z2P,Janovská,bus,"154,175,183",50.041454,14.567097
U1014Z1P,Obchodní centrum Štěrboholy,bus,"163,204,208,228",50.072243,14.543001
