line_name,from_stop_id,to_stop_id,avg_seconds,num_samples
1,U100Z2P,U595Z2P,60,7
1,U595Z2P,U81Z2P,120,7
1,U81Z2P,U1122Z1P,60,6
1,U1122Z1P,U521Z1P,120,6
1,U521Z1P,U115Z3P,120,6
1,U115Z3P,U532Z1P,120,6
1,U532Z1P,U532Z4P,120,7
1,U532Z2P,U115Z4P,180,6
1,U115Z4P,U521Z2P,60,6
1,U521Z2P,U81Z1P,60,6
1,U81Z1P,U81Z3P,60,6
1,U81Z3P,U595Z1P,120,7
1,U595Z1P,U100Z1P,120,7
1,U100Z1P,U717Z2P,60,6
1,U717Z2P,U231Z2P,60,6
1,U231Z2P,U324Z2P,120,6
1,U324Z2P,U262Z2P,60,6
1,U262Z2P,U692Z2P,60,6
1,U692Z2P,U163Z2P,180,7
1,U163Z2P,U592Z2P,120,6
1,U592Z2P,U867Z2P,120,6
1,U867Z2P,U645Z2P,60,6
1,U645Z2P,U519Z2P,60,6
1,U519Z2P,U15Z2P,60,6
1,U15Z2P,U858Z2P,60,6
1,U858Z2P,U844Z2P,60,7
1,U844Z2P,U507Z2P,120,7
1,U507Z2P,U541Z2P,120,6
1,U592Z1P,U163Z1P,180,7
1,U163Z1P,U692Z1P,120,7
1,U692Z1P,U324Z1P,120,6
1,U324Z1P,U231Z1P,60,6
1,U231Z1P,U717Z1P,60,6
1,U717Z1P,U100Z2P,180,6
1,U507Z1P,U844Z1P,60,7
1,U844Z1P,U858Z1P,60,7
1,U858Z1P,U15Z1P,60,6
1,U15Z1P,U519Z1P,60,6
1,U519Z1P,U645Z1P,60,6
1,U645Z1P,U867Z1P,120,6
1,U867Z1P,U592Z1P,60,6
1,U541Z1P,U507Z1P,60,6
2,U433Z2P,U866Z4P,180,7
2,U866Z1P,U433Z1P,60,6
2,U433Z1P,U2784Z1P,60,6
2,U2784Z1P,U597Z1P,60,6
2,U597Z1P,U530Z1P,60,6
2,U530Z1P,U503Z1P,60,6
2,U503Z1P,U482Z1P,120,7
2,U482Z1P,U83Z1P,120,7
2,U83Z1P,U724Z1P,120,12
2,U724Z1P,U522Z1P,60,12
2,U522Z1P,U876Z1P,60,12
2,U876Z1P,U42Z1P,60,12
2,U42Z1P,U237Z1P,120,12
2,U237Z1P,U237Z13P,60,13
2,U237Z13P,U539Z2P,180,14
2,U539Z2P,U483Z2P,60,12
2,U483Z2P,U221Z2P,120,12
2,U221Z2P,U703Z2P,120,12
2,U703Z2P,U360Z2P,180,14
2,U360Z2P,U187Z2P,120,19
2,U187Z2P,U163Z2P,180,19
2,U163Z2P,U592Z2P,120,18
2,U592Z2P,U867Z2P,120,20
2,U867Z2P,U645Z2P,60,20
2,U645Z2P,U519Z2P,60,18
2,U519Z2P,U15Z2P,60,19
2,U15Z2P,U858Z2P,60,19
2,U858Z2P,U844Z2P,60,18
2,U844Z2P,U507Z2P,120,18
2,U507Z2P,U541Z4P,120,18
2,U187Z1P,U360Z1P,180,14
2,U360Z1P,U703Z1P,120,14
2,U703Z1P,U221Z1P,60,12
2,U221Z1P,U483Z1P,180,12
2,U483Z1P,U539Z1P,120,12
2,U539Z1P,U237Z2P,120,14
2,U237Z2P,U237Z4P,60,14
2,U237Z4P,U42Z2P,120,12
2,U42Z2P,U876Z2P,60,12
2,U876Z2P,U522Z2P,120,12
2,U522Z2P,U724Z2P,60,12
2,U724Z2P,U83Z2P,120,12
2,U83Z2P,U482Z2P,120,7
2,U482Z2P,U503Z2P,60,6
2,U503Z2P,U530Z2P,60,6
2,U530Z2P,U597Z2P,120,6
2,U597Z2P,U2784Z2P,60,6
2,U2784Z2P,U433Z2P,60,6
2,U541Z1P,U507Z1P,60,18
2,U507Z1P,U844Z1P,60,18
2,U844Z1P,U858Z1P,60,18
2,U858Z1P,U15Z1P,60,18
2,U15Z1P,U519Z1P,60,19
2,U519Z1P,U645Z1P,60,19
2,U645Z1P,U867Z1P,120,20
2,U867Z1P,U592Z1P,60,18
2,U592Z1P,U163Z1P,180,18
2,U163Z1P,U187Z1P,120,18
2,U83Z2P,U482Z6P,60,7
2,U482Z6P,U482Z4P,60,7
2,U482Z3P,U83Z1P,60,6
2,U187Z1P,U360Z4P,180,7
2,U360Z4P,U593Z1P,120,6
2,U593Z1P,U360Z2P,240,6
3,U758Z1P,U854Z1P,60,7
3,U854Z1P,U689Z1P,120,7
3,U689Z1P,U32Z1P,120,6
3,U32Z1P,U480Z3P,60,6
3,U480Z3P,U203Z1P,120,6
